Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
24-09-2020,9,,,,10,,15,5,16,,7,,,,3,11,10,13,,19,,,,,11,7,23,18,15,,7,,7,,,,5,,,5,,,10,10,19,,
24-09-2020,10,,,,20,,24,12,26,,18,,,,15,21,21,17,,29,,,,,22,17,33,25,29,,15,,,,,,15,,,20,,,22,20,25,,
24-09-2020,11,,,,38,,35,20,40,,28,,,,30,24,27,28,,24,,,,,32,29,40,39,32,,22,,,,,,37,,,27,,,37,32,35,,
24-09-2020,12,,,,43,,48,37,58,,43,,,,37,36,47,46,,27,,,,,48,42,49,63,56,,55,,,,,,56,,,33,,,55,62,51,,
24-09-2020,13,,,,51,,77,40,77,,59,,,,48,51,70,73,,38,,,,,72,39,56,81,66,,79,,,,,,57,,,46,,,65,88,53,,
24-09-2020,14,,,,65,,71,52,85,,73,,,,51,66,86,85,,43,,,,,64,64,58,100,77,,92,,67,,,,55,,,63,,,71,104,61,,
24-09-2020,15,,,,67,,74,85,69,,71,,,,60,68,96,79,,56,,,,,88,,45,100,74,,80,,82,,,,54,,,72,,,68,88,70,,
24-09-2020,16,,,,82,,68,91,63,,42,,,,58,71,66,72,,46,,,,,74,,39,43,56,,43,,80,,,,37,,,87,,,63,51,78,,
24-09-2020,17,,,,65,,41,38,40,,31,,,,62,50,32,32,,41,,,,,36,,32,31,42,,41,,45,,,,31,,,49,,,36,39,64,,
24-09-2020,18,,,,38,,32,33,34,,22,,,,24,30,24,27,,33,,,,,25,37,30,27,34,,30,,39,,,,25,,,28,,,29,29,35,,
24-09-2020,19,,,,32,,35,37,29,,24,,,,19,38,24,28,,20,,,,,31,42,27,19,26,,23,,50,,,,21,,,35,,,25,24,33,,
24-09-2020,20,,,,32,,32,25,33,,20,,,,14,34,23,18,,18,,,,,32,33,25,21,25,,24,,34,,,,21,,,21,,,22,28,26,,
24-09-2020,21,,,,23,,30,12,33,,31,,,,18,36,18,22,,18,,,,,13,33,30,17,32,,28,,31,,,,27,,,5,,,28,24,21,,
24-09-2020,22,,,,27,,25,5,43,,31,,,,10,32,29,17,,13,,,,,11,32,28,17,42,,7,,41,,,,12,,,11,,,37,10,30,,
24-09-2020,23,,,,35,,16,6,35,,22,,,,26,35,30,15,,16,,,,,7,29,24,25,36,,9,,23,,,,25,,,17,,,25,8,29,,
24-09-2020,24,,,,32,,28,24,34,,20,,,,15,29,32,22,,13,,,,,13,32,24,24,32,,5,,6,,,,28,,,40,,,21,7,36,,
25-09-2020,1,,,,26,,33,32,34,,19,,,,10,18,38,25,,11,,,,,16,24,23,27,19,,18,,9,,,,24,,,37,,,28,10,40,,
25-09-2020,2,,,,20,,27,34,12,,7,,,,17,14,43,25,,11,,,,,13,11,25,33,11,,30,,13,,,,18,,,36,,,21,17,42,,
25-09-2020,3,,,,16,,23,29,10,,4,,,,7,10,41,22,,11,,,,,22,6,27,36,15,,33,,12,,,,21,,,32,,,7,23,49,,
25-09-2020,4,,,,14,,24,28,13,,2,,,,4,9,24,19,,10,,,,,,4,25,34,16,,32,,10,,,,12,,,20,,,7,27,43,,
25-09-2020,5,,,,4,,16,22,7,,1,,,,1,4,19,14,,8,,,,,,6,23,28,18,,12,,6,,,,13,,,10,,,10,20,25,,
25-09-2020,6,,,,0,,16,6,3,,1,,,,1,1,10,9,,7,,,,,,9,18,22,9,,5,,4,,,,14,,,2,,,4,15,10,,
25-09-2020,7,,,,2,,6,9,2,,1,,,,1,1,4,2,,6,,,,,,4,17,13,4,,6,,2,,,,2,,,2,,,4,6,2,,
25-09-2020,8,,,,1,,4,8,4,,1,,,,1,2,5,3,,3,,,,,,9,17,9,4,,3,,5,,,,2,,,3,,,6,5,3,,
25-09-2020,9,,,,4,,10,10,16,,1,,,,4,12,7,7,,9,,,,,,10,31,9,12,,14,,13,,,,12,,,9,,,11,11,9,,
25-09-2020,10,,,,14,,15,21,27,,13,,,,20,21,13,12,,20,,,,,,12,35,16,22,,15,,26,,,,26,,,9,,,24,23,21,,
25-09-2020,11,,,,30,,31,34,43,,39,,,,28,28,29,31,,22,,,,,,29,40,34,38,,19,,42,,,,46,,,14,,,45,41,25,,
25-09-2020,12,,,,37,,55,53,63,,51,,,,44,49,51,61,,32,,,,,,58,37,55,58,,31,,56,,,,44,,,38,,,67,55,43,,
25-09-2020,13,,,,59,,56,66,77,,56,,,,55,55,66,67,,33,,,,,,,37,59,70,,44,,76,,,,47,,,69,,,67,55,57,,
25-09-2020,14,,,,69,,56,61,82,,66,,,,57,53,76,69,,41,,,,,,,35,81,74,,72,,53,,,,36,,,72,,,81,72,66,,
25-09-2020,15,,,,52,,58,47,71,,70,,,,60,35,77,69,,34,,,,,,60,33,82,61,,53,,51,,,,42,,,51,,,79,83,64,,
